Year,Area,Item,Element,Unit,Value
2001,Wetland A,Species,Production,tonnes,40
2001,Wetland B,Species,Production,tonnes,30
2001,Wetland C,Species,Production,tonnes,20
2001,Wetland D,Species,Production,tonnes,10
2001,Wetland E,Species,Production,tonnes,5
2002,Wetland A,Species,Production,tonnes,42
2002,Wetland B,Species,Production,tonnes,29
2002,Wetland C,Species,Production,tonnes,21
2002,Wetland D,Species,Production,tonnes,8
2002,Wetland E,Species,Production,tonnes,5
2003,Wetland A,Species,Production,tonnes,43
2003,Wetland B,Species,Production,tonnes,28
2003,Wetland C,Species,Production,tonnes,22
2003,Wetland D,Species,Production,tonnes,7
2003,Wetland E,Species,Production,tonnes,5
2004,Wetland A,Species,Production,tonnes,44
2004,Wetland B,Species,Production,tonnes,27
2004,Wetland C,Species,Production,tonnes,22
2004,Wetland D,Species,Production,tonnes,7
2004,Wetland E,Species,Production,tonnes,1
2005,Wetland A,Species,Production,tonnes,60
2005,Wetland B,Species,Production,tonnes,20
2005,Wetland C,Species,Production,tonnes,15
2005,Wetland D,Species,Production,tonnes,4
2005,Wetland E,Species,Production,tonnes,1
2006,Wetland A,Species,Production,tonnes,58
2006,Wetland B,Species,Production,tonnes,22
2006,Wetland C,Species,Production,tonnes,15
2006,Wetland D,Species,Production,tonnes,4
2006,Wetland E,Species,Production,tonnes,0
2007,Wetland A,Species,Production,tonnes,55
2007,Wetland B,Species,Production,tonnes,23
2007,Wetland C,Species,Production,tonnes,16
2007,Wetland D,Species,Production,tonnes,4
2007,Wetland E,Species,Production,tonnes,0
2007,Wetland F,Species,Production,tonnes,3
2008,Wetland A,Species,Production,tonnes,54
2008,Wetland B,Species,Production,tonnes,24
2008,Wetland C,Species,Production,tonnes,16
2008,Wetland D,Species,Production,tonnes,4
2008,Wetland E,Species,Production,tonnes,0
2008,Wetland F,Species,Production,tonnes,3
2009,Wetland A,Species,Production,tonnes,53
2009,Wetland B,Species,Production,tonnes,25
2009,Wetland C,Species,Production,tonnes,17
2009,Wetland D,Species,Production,tonnes,4
2009,Wetland E,Species,Production,tonnes,0
2009,Wetland F,Species,Production,tonnes,3
